 Timestamp , Gazepoint X , Gazepoint Y , Pupil area (right) sq mm , Pupil area (left) sq mm , Eye event 
1,0.35,0.5927,0.7,0.58, S 
1,0.333,0.6042,0.69,0.57, S 
1,0.3193,0.6047,0.47,0.54, S 
1,0.1796,0.5798,0.53,0.47, S 
1,0.2243,0.6017,0.51,0.53, S 
1,0.1163,0.6947,0.61,0.45, S 
1,0.1842,0.6712,0.53,0.48, S 
2,0.5002,0.5866,0.69,0.56, BE 
2,0.476,0.5113,0.63,0.41, BB 
2,0.6011,0.5222,0.64,0.44, BE 
2,0.5525,0.5709,0.8,0.58, S 
2,0.3602,0.5772,0.8,0.6, S 
2,0.4282,0.6003,0.74,0.51, S 
2,0.3784,0.5901,0.72,0.58, S 
3,0.3735,0.5517,0.65,0.5, S 
3,0.3528,0.582,0.76,0.5, FB 
3,0.3347,0.5969,0.71,0.48, FEx0.353y0.582d0.199 
3,0.2701,0.5072,0.66,0.51, S 
3,0.3441,0.5104,0.64,0.53, S 
3,0.3988,0.5518,0.66,0.54, S 
4,0.4554,0.5847,0.54,0.53, S 
4,0.6249,0.544,0.56,0.54, S 
4,0.6606,0.5881,0.56,0.53, S 
4,0.6806,0.6274,0.58,0.49, S 
4,0.4248,0.5838,0.66,0.51, S 
4,0.4269,0.6447,0.76,0.57, S 
4,0.549,0.5464,0.56,0.62, S 
5,0.5224,0.5483,0.62,0.49, S 
5,0.5349,0.4904,0.53,0.48, S 
5,0.5488,0.5142,0.5,0.45, S 
5,0.5619,0.5192,0.59,0.09, S 
5,0.5619,0.5192,0.54,0.38, BB 
6,0.0,0.0,0.0,0.0, NA 
6,0.2999,0.7241,0.55,0.23, BE 
6,0.2999,0.7241,0.5,0.37, BE 
6,0.6122,0.3822,0.5,0.49, S 
6,0.6639,0.3722,0.47,0.38, S 
7,0.3635,0.351,0.42,0.43, S 
7,0.3605,0.3443,0.43,0.43, S 
7,0.3447,0.3452,0.51,0.34, S 
7,0.1458,0.4715,0.3,0.31, S 
7,0.2464,0.4407,0.49,0.34, S 
7,0.2237,0.5042,0.47,0.4, S 
8,0.244,0.4533,0.48,0.41, FB 
8,0.2591,0.5121,0.5,0.39, FEx0.244y0.453d0.125 
8,0.2827,0.515,0.45,0.35, FB 
8,0.202,0.5334,0.43,0.33, FEx0.283y0.515d0.086 
8,0.146,0.552,0.38,0.44, BE 
8,0.7239,0.4262,0.39,0.42, S 
8,0.8406,0.4187,0.36,0.46, S 
9,0.7268,0.4513,0.43,0.49, S 
9,0.6833,0.5027,0.45,0.43, S 
9,0.7567,0.4398,0.42,0.45, S 
9,0.6496,0.5243,0.51,0.49, S 
9,0.6597,0.4851,0.47,0.51, S 
9,0.6948,0.438,0.48,0.52, S 
9,0.5629,0.3968,0.55,0.5, S 
9,0.4722,0.3563,0.49,0.61, S 
