 Timestamp , Gazepoint X , Gazepoint Y , Pupil area (right) sq mm , Pupil area (left) sq mm , Eye event 
1,0.5796,0.7031,0.51,0.62, NA 
1,0.5764,0.7064,0.51,0.62, NA 
1,0.5726,0.6998,0.51,0.62, NA 
1,0.5778,0.6874,0.43,0.62, FEx0.579y0.693d0.415 
1,0.5843,0.6713,0.44,0.62, FB 
1,0.5915,0.6578,0.41,0.62, NA 
1,0.5802,0.6502,0.41,0.59, FEx0.588y0.665d0.233 
1,0.6585,0.6653,0.46,0.54, S 
2,0.662,0.6762,0.48,0.49, S 
2,0.6923,0.6762,0.46,0.51, S 
2,0.6917,0.6759,0.46,0.49, FB 
2,0.6964,0.6681,0.5,0.51, FEx0.692y0.676d0.090 
2,0.7043,0.6667,0.52,0.5, FB 
2,0.7023,0.6676,0.48,0.5, FEx0.704y0.667d0.090 
2,0.6924,0.6611,0.46,0.52, FB 
2,0.6915,0.6628,0.46,0.52, NA 
2,0.696,0.6634,0.49,0.51, FEx0.692y0.662d0.195 
2,0.7025,0.6565,0.47,0.5, FB 
2,0.7084,0.6495,0.56,0.64, FEx0.703y0.657d0.108 
3,0.3812,0.6756,0.58,0.61, S 
3,0.3956,0.6696,0.48,0.61, FB 
3,0.3659,0.6752,0.51,0.62, NA 
3,0.3762,0.6999,0.48,0.61, FEx0.380y0.673d0.298 
3,0.3808,0.6958,0.46,0.6, FB 
3,0.4098,0.6884,0.45,0.61, FEx0.381y0.696d0.196 
4,0.4414,0.6808,0.43,0.61, BE 
4,0.4689,0.6715,0.54,0.62, S 
4,0.4743,0.6657,0.51,0.62, FB 
4,0.5027,0.716,0.51,0.65, FEx0.474y0.666d0.185 
4,0.5246,0.704,0.46,0.61, S 
4,0.5331,0.7072,0.45,0.61, FB 
5,0.5634,0.6905,0.45,0.64, FEx0.533y0.707d0.103 
5,0.5718,0.6777,0.42,0.62, FB 
5,0.5695,0.6932,0.45,0.6, NA 
5,0.5833,0.6742,0.38,0.57, NA 
5,0.5751,0.6921,0.43,0.55, NA 
5,0.5698,0.7119,0.43,0.56, NA 
5,0.5926,0.6841,0.41,0.55, FEx0.574y0.690d0.549 
5,0.6029,0.6735,0.41,0.56, FB 
5,0.6024,0.6816,0.41,0.57, NA 
6,0.6268,0.6778,0.38,0.53, FEx0.603y0.678d0.312 
6,0.6349,0.6766,0.38,0.57, FB 
6,0.6371,0.6784,0.41,0.55, NA 
6,0.6609,0.6746,0.42,0.46, FEx0.636y0.678d0.272 
6,0.6806,0.664,0.39,0.46, FB 
6,0.6902,0.6613,0.4,0.49, FEx0.681y0.664d0.116 
6,0.6963,0.672,0.4,0.49, FB 
7,0.7052,0.6688,0.47,0.48, FEx0.696y0.672d0.097 
7,0.7152,0.6603,0.46,0.63, S 
7,0.4051,0.6732,0.46,0.59, S 
7,0.3713,0.6632,0.42,0.53, BE 
7,0.3636,0.7144,0.5,0.62, S 
7,0.3628,0.7329,0.49,0.71, S 
8,0.5973,0.6922,0.54,0.73, FB 
8,0.6494,0.6834,0.51,0.59, FEx0.597y0.692d0.103 
8,0.6388,0.6814,0.51,0.55, FB 
8,0.6604,0.6667,0.55,0.55, NA 
8,0.6689,0.6378,0.53,0.55, NA 
8,0.6905,0.6436,0.54,0.57, FEx0.656y0.662d0.361 
8,0.7044,0.6506,0.54,0.56, FB 
8,0.7134,0.6495,0.54,0.52, FEx0.704y0.651d0.183 
9,0.7242,0.6584,0.54,0.55, S 
9,0.7063,0.6714,0.55,0.57, FB 
9,0.6756,0.6782,0.56,0.58, FEx0.706y0.671d0.107 
9,0.6788,0.6694,0.54,0.56, FB 
9,0.6833,0.6582,0.54,0.57, FEx0.679y0.669d0.100 
9,0.6521,0.6723,0.59,0.66, S 
9,0.6334,0.6833,0.73,0.75, S 
9,0.382,0.7051,0.72,0.78, FB 
