 Timestamp , Gazepoint X , Gazepoint Y , Pupil area (right) sq mm , Pupil area (left) sq mm , Eye event 
1,0.4853,0.2252,0.19,0.52, S 
1,0.4772,0.242,0.17,0.49, S 
1,0.4828,0.2917,0.15,0.46, S 
1,0.4856,0.3312,0.17,0.4, S 
1,0.5494,0.5335,0.17,0.45, S 
1,0.5245,0.596,0.18,0.45, S 
1,0.4801,0.5293,0.18,0.44, S 
1,0.4363,0.3264,0.18,0.48, S 
1,0.4666,0.4178,0.19,0.56, S 
1,0.5137,0.5286,0.21,0.65, S 
2,0.551,0.6164,0.25,0.74, S 
2,0.4928,0.4118,0.26,0.78, S 
2,0.4766,0.3909,0.26,0.85, S 
2,0.5265,0.5997,0.23,0.69, S 
2,0.5669,0.5777,0.23,0.69, S 
3,0.5403,0.5063,0.25,0.74, S 
3,0.5388,0.5212,0.25,0.76, S 
3,0.542,0.5293,0.26,0.8, S 
3,0.5432,0.5341,0.25,0.72, S 
3,0.4974,0.316,0.25,0.7, S 
3,0.4625,0.2434,0.24,0.66, S 
3,0.4429,0.2247,0.22,0.62, S 
3,0.4452,0.2354,0.21,0.57, S 
3,0.4288,0.2733,0.2,0.6, S 
4,0.4228,0.2845,0.18,0.56, S 
4,0.4442,0.3289,0.17,0.5, S 
4,0.4648,0.2825,0.16,0.5, S 
4,0.4565,0.2537,0.17,0.5, S 
4,0.479,0.1626,0.16,0.48, S 
4,0.4858,0.0693,0.15,0.41, S 
4,0.4988,0.0883,0.14,0.41, S 
4,0.5108,0.0785,0.15,0.44, S 
4,0.4779,0.4112,0.16,0.43, S 
5,0.4847,0.3439,0.18,0.5, S 
5,0.4752,0.3373,0.18,0.52, S 
5,0.4534,0.3094,0.2,0.53, S 
5,0.4187,0.3068,0.2,0.57, S 
5,0.3885,0.2987,0.23,0.64, S 
5,0.5878,0.4704,0.23,0.61, S 
6,0.5955,0.5083,0.25,0.64, S 
6,0.4664,0.6363,0.24,0.68, S 
6,0.5122,0.6099,0.26,0.73, S 
6,0.5055,0.5432,0.26,0.73, S 
6,0.525,0.5318,0.26,0.76, S 
6,0.5407,0.5095,0.26,0.7, S 
6,0.5075,0.3403,0.26,0.69, S 
6,0.5017,0.3691,0.26,0.68, S 
6,0.504,0.4399,0.24,0.66, S 
7,0.518,0.3468,0.22,0.62, S 
7,0.493,0.2968,0.2,0.59, S 
7,0.508,0.495,0.22,0.56, S 
7,0.4911,0.5701,0.22,0.6, S 
7,0.4819,0.6122,0.24,0.64, S 
7,0.502,0.5862,0.26,0.72, S 
8,0.5158,0.4156,0.27,0.76, S 
8,0.511,0.352,0.25,0.73, S 
8,0.5218,0.2512,0.25,0.67, S 
8,0.5307,0.2761,0.25,0.67, S 
8,0.4663,0.3864,0.23,0.64, S 
8,0.5036,0.3766,0.21,0.61, S 
8,0.4959,0.3572,0.22,0.59, S 
8,0.4706,0.3203,0.2,0.57, S 
8,0.4788,0.3042,0.2,0.58, S 
9,0.4746,0.2947,0.21,0.61, S 
9,0.4936,0.4627,0.24,0.64, S 
9,0.4887,0.5002,0.24,0.69, S 
9,0.5373,0.4512,0.24,0.7, S 
9,0.5836,0.4474,0.21,0.6, S 
9,0.6271,0.4393,0.26,0.67, S 
